level,time,longitude,latitude,apg_conc,bpg_conc,gpg_conc,mpg_conc,opg_conc,rwpg_conc
0.0,0 days 00:00:00,20.55,40.85,2.1350001e-19,0.0009765625,0.009719849,3.986e-19,0.00390625,4.2871303e-19
0.0,0 days 01:00:00,20.55,40.85,7.6293945e-06,2.2297504e-19,0.0038146973,3.986e-19,0.009765625,4.2816357e-19
0.0,0 days 02:00:00,20.55,40.85,2.9563904e-05,1.3125437e-17,0.001083374,3.986e-19,0.0009765625,4.276046e-19
0.0,0 days 03:00:00,20.55,40.85,2.2354618e-19,2.2354618e-19,0.0010681152,3.986e-19,0.0012207031,4.2732337e-19
0.0,0 days 04:00:00,20.55,40.85,9.536743e-06,1.3141233e-17,0.0035095215,3.986e-19,0.0009765625,4.2711523e-19
0.0,0 days 05:00:00,20.55,40.85,3.0517578e-05,2.272886e-19,0.36010742,3.986e-19,0.0073242188,4.26384e-19
0.0,0 days 06:00:00,20.55,40.85,0.00012207031,2.3297586e-19,0.6638794,3.986e-19,0.0234375,4.2526058e-19
0.0,0 days 07:00:00,20.55,40.85,0.00030517578,2.2390688e-19,0.48486328,3.986e-19,0.010009766,4.248016e-19
0.0,0 days 08:00:00,20.55,40.85,0.00024414062,2.240564e-19,0.2774048,3.986e-19,0.016601562,4.2332912e-19
0.0,0 days 09:00:00,20.55,40.85,0.00015258789,2.242213e-19,0.059020996,3.986e-19,0.009765625,4.2346147e-19
0.0,0 days 10:00:00,20.55,40.85,2.2422044e-19,2.2422044e-19,0.0073242188,7.105826e-15,0.00390625,4.2355008e-19
0.0,0 days 11:00:00,20.55,40.85,2.2414162e-19,1.3022765e-17,0.005065918,7.105826e-15,0.010009766,4.2301665e-19
0.0,0 days 12:00:00,20.55,40.85,2.241536e-19,2.241536e-19,0.0064086914,7.105826e-15,0.010009766,4.2398817e-19
0.0,0 days 13:00:00,20.55,40.85,1.309482e-17,1.29400016e-17,0.003540039,7.105826e-15,0.0073242188,4.2417698e-19
0.0,0 days 14:00:00,20.55,40.85,1.3103473e-17,1.3103473e-17,0.008483887,7.105826e-15,0.0029296875,4.2451922e-19
0.0,0 days 15:00:00,20.55,40.85,1.30961096e-17,2.7232962e-19,0.010620117,7.105826e-15,0.0009765625,4.2465633e-19
0.0,0 days 16:00:00,20.55,40.85,1.2880945e-17,1.28886345e-17,0.008056641,7.105826e-15,0.0017089844,4.2528716e-19
0.0,0 days 17:00:00,20.55,40.85,1.2886677e-17,3.3331633e-19,0.0008239746,7.105826e-15,0.0009765625,4.2572846e-19
